Companies Linked to Russian Ransomware Hide in Plain Sight,https://www.nytimes.com/2021/12/06/world/europe/ransomware-russia-bitcoin.html
2021’s Winners And Losers In Fintech And Banking,https://www.forbes.com/sites/ronshevlin/2021/12/06/2021s-winners-and-losers-in-fintech-and-banking/
The Coming Convergence of NFTs and Artificial Intelligence,https://www.coindesk.com/business/2021/10/25/the-coming-convergence-of-nfts-and-artificial-intelligence/
The new world of metaverse and ownership via NFTs - ET CIO,https://cio.economictimes.indiatimes.com/news/next-gen-technologies/the-new-world-of-metaverse-and-ownership-via-nfts/88088572
Bringing The Metaverse & NFTs Back To Earth,https://www.bbntimes.com/technology/bringing-the-metaverse-nfts-back-to-earth
Bringing The Metaverse & NFTs Back To Earth,https://www.bbntimes.com/technology/bringing-the-metaverse-nfts-back-to-earth?scroll-ajax=html
Top 24 Fintech Firms to Watch in 2022 - Grit Daily News,https://gritdaily.com/top-24-fintech-firms-to-watch-in-2022/
The 7 Biggest Consumer Technology Trends In 2022,https://www.forbes.com/sites/bernardmarr/2021/12/07/the-7-biggest-consumer-technology-trends-in-2022/
Develop a Full Stack Serverless NFT Application with Amazon Managed Blockchain – Part 1 | Amazon Web Services,https://aws.amazon.com/blogs/database/part-1-develop-a-full-stack-serverless-nft-application-with-amazon-managed-blockchain/
The 7 new business values in the era of Artificial Intelligence,https://www.entrepreneur.com/article/396564
New cryptocurrency wave begins with community-first NFTs,https://cointelegraph.com/news/new-cryptocurrency-wave-begins-with-community-first-nfts
Virtual land in the metaverse dominated NFT sales over past week,https://cointelegraph.com/news/virtual-land-in-the-metaverse-dominated-nft-sales-over-past-week
Polygon Acquires Ethereum Scaling Startup Mir for $400M,https://www.coindesk.com/business/2021/12/09/polygon-acquires-ethereum-scaling-startup-mir-for-400m-in-matic/
World Blockchain Summit – Dubai 2022 | Crypto. DeFi. NFT. Metaverse,https://tresconglobal.com/conferences/blockchain/dubai/
Increased connectivity: What's in store for 2022? - Help Net Security,https://www.helpnetsecurity.com/2021/12/06/2022-tmt-trends/
